id,name,stock_id,stock_name,price,convert_value,premium_rt,rating_cd,pb,convert_amt_ratio,convert_amt_ratio2,next_put_dt,put_price,put_convert_price,maturity_dt,redeem_price,last_time,force_redeem,redeem_dt,force_redeem_price
123080,海波转债,300517.sz,海波重科,118.0,101.55,16.20%,A+,2.50,18.4%,10.8%,2024-12-02,100.000,8.11,2026-12-01,120.000,5.211,X,,15.05
128095,恩捷转债,002812.sz,恩捷股份,532.326,457.95,16.24%,AA,21.90,0.2%,0.2%,2024-02-12,100.000,45.44,2026-02-11,110.000,4.408,N,,84.40
113505,杭电转债,603618.ss,杭电股份,111.91,96.05,16.51%,AA,1.65,16.0%,16.0%,2022-03-06,100.000,4.96,2024-03-05,108.000,2.468,X,,9.20
128127,文科转债,002775.sz,文科园林,100.125,85.86,16.61%,AA-,0.94,50.8%,44.2%,2024-08-19,100.000,3.42,2026-08-19,115.000,4.926,X,,6.34
128040,华通转债,002758.sz,浙农股份,114.577,98.13,16.76%,AA,1.57,11.4%,4.6%,2022-06-14,100.000,7.11,2024-06-13,108.000,2.742,X,,13.20
123057,美联转债,300586.sz,美联新材,137.45,117.47,17.01%,AA-,4.74,6.4%,3.5%,2024-07-01,100.000,6.65,2026-06-30,112.000,4.789,X,,12.35
113626,伯特转债,603596.ss,伯特利,161.93,137.72,17.58%,AA,6.68,4.5%,4.5%,2025-06-27,100.000,25.20,2027-06-28,116.000,5.784,X,,46.80
123043,正元转债,300645.sz,正元智慧,166.982,142.0,17.59%,A+,4.05,5.9%,6.0%,2024-03-04,100.000,10.77,2026-03-04,115.000,4.466,X,,19.99
110060,天路转债,600326.ss,西藏天路,118.96,101.13,17.63%,AA,1.47,10.7%,10.7%,2023-10-27,100.000,4.96,2025-10-27,110.000,4.115,N,,9.20
128129,青农转债,002958.sz,青农商行,107.826,91.67,17.62%,AAA,0.67,46.8%,22.7%,,,-,2026-08-24,108.000,4.940,X,,5.62
123092,天壕转债,300332.sz,天壕环境,193.51,164.35,17.74%,A+,2.17,5.9%,5.6%,2024-12-23,100.000,3.63,2026-12-23,115.000,5.271,N,,6.75
128034,江银转债,002807.sz,江阴银行,108.4,91.9,17.95%,AA+,0.71,20.4%,20.4%,,,-,2024-01-26,106.000,2.362,X,,5.62
