id,name,stock_id,stock_name,price,convert_value,premium_rt,rating_cd,pb,convert_amt_ratio,convert_amt_ratio2,next_put_dt,put_price,put_convert_price,maturity_dt,redeem_price,last_time,force_redeem,redeem_dt,force_redeem_price
110057,现代转债,600420.ss,国药现代,117.2,102.45,14.40%,AAA,1.22,15.7%,15.7%,2023-04-01,100.000,6.85,2025-03-31,106.000,3.545,X,,12.73
128017,金禾转债,002597.sz,金禾实业,222.8,194.36,14.64%,AA,4.67,2.3%,2.3%,2021-11-01,100.000,15.38,2023-11-01,106.000,2.132,N,,28.56
123073,同和转债,300636.sz,同和药业,122.68,106.95,14.71%,A+,3.84,12.9%,11.0%,2024-10-26,100.000,10.37,2026-10-25,116.000,5.115,X,,19.27
113623,凤21转债,603225.ss,新凤鸣,151.05,131.57,14.80%,AA,2.45,7.7%,7.5%,2025-04-07,100.000,11.53,2027-04-07,112.000,5.564,X,,21.41
123061,航新转债,300424.sz,航新科技,126.486,110.17,14.81%,A+,5.46,7.6%,6.4%,2024-07-22,100.000,10.39,2026-07-21,118.000,4.852,X,,19.30
128087,孚日转债,002083.sz,孚日股份,107.407,93.56,14.81%,AA-,1.03,17.0%,17.0%,2023-12-18,100.000,3.15,2025-12-17,108.000,4.260,X,,5.85
110080,东湖转债,600133.ss,东湖高新,111.69,97.19,14.92%,AA,0.80,34.0%,33.1%,2025-04-11,100.000,4.24,2027-04-12,110.000,5.578,X,,7.87
128095,恩捷转债,002812.sz,恩捷股份,549.5,477.63,15.05%,AA,22.85,0.2%,0.2%,2024-02-12,100.000,45.44,2026-02-11,110.000,4.414,N,,84.40
123106,正丹转债,300641.sz,正丹股份,123.0,106.4,15.60%,AA-,2.61,8.2%,8.2%,2025-03-24,100.000,5.25,2027-03-23,120.000,5.523,X,,9.75
128029,太阳转债,002078.sz,太阳纸业,178.396,154.32,15.60%,AA+,1.92,2.7%,2.6%,2020-12-22,100.000,5.92,2022-12-22,106.000,1.271,X,,10.98
127005,长证转债,000783.sz,长江证券,129.5,111.78,15.85%,AAA,1.48,11.3%,11.3%,,,-,2024-03-12,105.000,2.493,X,,9.27
128119,龙大转债,002726.sz,龙大肉食,123.996,107.0,15.89%,AA,2.99,9.6%,8.8%,2024-07-15,100.000,6.50,2026-07-12,115.000,4.827,N,,12.08
113582,火炬转债,603678.ss,火炬电子,328.02,282.83,15.98%,AA,7.62,1.3%,1.3%,2024-05-27,100.000,17.49,2026-05-27,110.000,4.701,N,,32.49
123057,美联转债,300586.sz,美联新材,130.845,112.74,16.06%,AA-,4.54,6.7%,3.7%,2024-07-01,100.000,6.65,2026-06-30,112.000,4.795,X,,12.35
123062,三超转债,300554.sz,三超新材,119.898,103.27,16.10%,A,2.85,20.8%,11.8%,2024-07-26,100.000,11.99,2026-07-26,113.000,4.866,X,,22.27
123092,天壕转债,300332.sz,天壕环境,180.12,155.11,16.13%,A+,2.04,6.2%,6.0%,2024-12-23,100.000,3.63,2026-12-23,115.000,5.277,N,,6.75
128106,华统转债,002840.sz,华统股份,115.33,99.25,16.20%,AA,2.25,13.2%,12.9%,2024-04-09,100.000,6.56,2026-04-09,108.000,4.570,X,,12.18
128090,汽模转2,002510.sz,天汽模,121.73,104.73,16.23%,AA-,1.99,7.5%,7.4%,2023-12-27,100.000,2.96,2025-12-27,110.000,4.288,X,,5.50
128078,太极转债,002368.sz,太极股份,134.4,115.62,16.24%,AA,4.21,6.5%,6.5%,2023-10-23,100.000,15.55,2025-10-21,112.000,4.104,X,,28.87
111000,起帆转债,605222.ss,起帆电缆,127.09,108.72,16.90%,AA-,2.76,44.8%,11.2%,2025-05-23,100.000,14.37,2027-05-24,115.000,5.693,X,,26.69
113033,利群转债,601366.ss,利群股份,105.4,90.16,16.91%,AA,1.20,34.1%,33.1%,2024-04-01,100.000,4.91,2026-03-31,110.000,4.545,X,,9.11
128037,岩土转债,002542.sz,中化岩土,113.801,97.1,17.20%,AA,1.32,13.8%,11.1%,2022-03-15,100.000,2.17,2024-03-15,108.000,2.501,X,,4.03
128140,润建转债,002929.sz,润建股份,135.866,115.91,17.22%,AA,1.98,22.0%,16.1%,2024-12-06,100.000,18.48,2026-12-04,110.000,5.225,X,,34.32
127022,恒逸转债,000703.sz,恒逸石化,131.1,111.79,17.28%,AA+,1.75,4.7%,4.4%,2024-10-15,100.000,7.84,2026-10-15,105.000,5.088,X,,14.56
113011,光大转债,601818.ss,光大银行,115.29,98.03,17.61%,AAA,0.41,16.8%,12.9%,,,-,2023-03-17,105.000,1.504,X,,4.62
113505,杭电转债,603618.ss,杭电股份,114.46,97.18,17.79%,AA,1.67,15.8%,15.8%,2022-03-06,100.000,4.96,2024-03-05,108.000,2.474,X,,9.20
113024,核建转债,601611.ss,中国核建,123.57,104.85,17.86%,AAA,1.54,11.2%,11.1%,2023-04-10,100.000,6.79,2025-04-07,105.000,3.564,X,,12.61
128033,迪龙转债,002658.sz,雪迪龙,127.9,108.5,17.88%,AA,2.42,9.5%,5.0%,2021-12-27,100.000,6.10,2023-12-27,106.000,2.285,X,,11.32
128127,文科转债,002775.sz,文科园林,101.86,86.27,18.07%,AA-,0.95,50.6%,44.0%,2024-08-19,100.000,3.42,2026-08-19,115.000,4.932,X,,6.34
128129,青农转债,002958.sz,青农商行,109.59,91.9,19.25%,AAA,0.67,46.7%,22.7%,,,-,2026-08-24,108.000,4.945,X,,5.62
110053,苏银转债,600919.ss,江苏银行,119.31,99.84,19.50%,AAA,0.51,21.4%,21.3%,,,-,2025-03-13,111.000,3.496,X,,8.28
128066,亚泰转债,002811.sz,郑中设计,105.984,88.67,19.52%,AA-,1.47,24.0%,21.6%,2023-04-17,100.000,6.49,2025-04-17,112.000,3.592,X,,12.05
123024,岱勒转债,300700.sz,岱勒新材,117.496,98.3,19.53%,A+,2.87,19.6%,14.1%,2022-03-21,100.000,9.87,2024-03-21,110.000,2.518,X,,18.33
123103,震安转债,300767.sz,震安科技,213.1,178.22,19.57%,A+,16.47,2.4%,1.4%,2025-03-11,100.000,39.82,2027-03-11,115.000,5.490,X,,73.96
128040,华通转债,002758.sz,浙农股份,115.7,96.55,19.83%,AA,1.54,11.6%,4.6%,2022-06-14,100.000,7.11,2024-06-13,108.000,2.748,X,,13.20
128034,江银转债,002807.sz,江阴银行,109.48,91.2,20.04%,AA+,0.70,20.6%,20.5%,,,-,2024-01-26,106.000,2.367,X,,5.62
128144,利民转债,002734.sz,利民股份,123.47,102.78,20.13%,AA,1.61,25.6%,22.3%,2025-02-28,100.000,8.05,2027-02-28,110.000,5.460,X,,14.95
113044,大秦转债,601006.ss,大秦铁路,105.73,87.88,20.31%,AAA,0.78,34.1%,34.1%,2024-12-13,100.000,5.03,2026-12-13,108.000,5.249,X,,8.62
113546,迪贝转债,603320.ss,迪贝电气,118.24,97.86,20.83%,A+,2.36,12.9%,12.9%,2023-10-23,100.000,9.80,2025-10-22,115.000,4.107,X,,18.20
127014,北方转债,000065.sz,北方国际,121.44,100.46,20.88%,AA+,1.14,9.1%,7.9%,2023-10-23,100.000,6.05,2025-10-23,110.000,4.110,X,,11.24
118001,金博转债,688598.ss,金博股份,172.24,142.11,21.20%,A+,20.37,2.4%,1.9%,2025-07-22,100.000,190.13,2027-07-22,115.000,5.855,X,,353.11
123110,九典转债,300705.sz,九典制药,123.08,101.44,21.34%,A+,6.25,7.1%,4.3%,2025-03-31,100.000,18.51,2027-03-31,115.000,5.545,X,,34.37
113049,长汽转债,601633.ss,长城汽车,198.98,163.97,21.35%,AAA,9.76,0.9%,0.6%,2025-06-09,100.000,26.81,2027-06-09,107.000,5.737,X,,49.79
113593,沪工转债,603131.ss,上海沪工,128.08,105.49,21.41%,A+,5.41,6.0%,5.6%,2024-07-22,100.000,14.78,2026-07-19,115.000,4.847,X,,27.46
127028,英特转债,000411.sz,英特集团,109.799,90.37,21.50%,AA+,1.63,23.9%,19.9%,2025-01-06,100.000,9.38,2027-01-04,108.000,5.310,X,,17.42
123087,明电转债,300739.sz,明阳电路,123.63,101.72,21.54%,AA-,3.37,8.8%,8.6%,2025-12-15,100.000,9.79,2026-12-14,115.000,5.252,X,,21.22
110060,天路转债,600326.ss,西藏天路,121.58,99.86,21.75%,AA,1.45,10.9%,10.9%,2023-10-27,100.000,4.96,2025-10-27,110.000,4.121,N,,9.20
123105,拓尔转债,300229.sz,拓尔思,127.495,104.72,21.75%,AA-,3.20,10.8%,10.7%,2025-03-18,100.000,6.97,2027-03-18,115.000,5.510,X,,12.95
123002,国祯转债,300388.sz,节能国祯,115.069,94.5,21.77%,AA,1.52,4.6%,4.6%,2021-11-24,100.000,5.85,2023-11-24,106.000,2.195,X,,10.87
123043,正元转债,300645.sz,正元智慧,164.0,134.4,22.03%,A+,3.84,6.3%,6.3%,2024-03-04,100.000,10.77,2026-03-04,115.000,4.471,X,,19.99
113599,嘉友转债,603871.ss,嘉友国际,117.06,95.91,22.06%,AA-,2.39,14.4%,14.4%,2024-08-04,100.000,12.82,2026-08-04,120.000,4.890,X,,23.82
123048,应急转债,300527.sz,中船应急,130.88,107.21,22.08%,AA+,3.30,4.1%,4.1%,2024-04-09,100.000,6.22,2026-04-09,108.000,4.570,N,,11.54
113013,国君转债,601211.ss,国泰君安,121.78,99.67,22.18%,AAA,1.17,5.1%,4.3%,,,-,2023-07-06,105.000,1.808,X,,23.98
127039,北港转债,000582.sz,北部湾港,123.4,100.96,22.23%,AAA,1.30,28.1%,21.8%,2025-06-27,100.000,5.84,2027-06-30,108.000,5.795,X,,10.86
