date,min,pt2,pt5,pt10,quartile,median,mean,max
2021-10-14,103.47531974837057,131.97449264653577,137.98115040458825,141.33105998269036,150.2902048929549,161.77430520474923,178.53925965950137,633.5718418085185
2021-10-15,112.26883675160967,133.59577771124196,139.40379497786918,143.54324708784267,151.72148186871848,163.92192460950127,180.65448502866954,641.059235617116
2021-10-18,112.62682179669665,133.88632015218144,139.85300213393893,143.6897757064907,151.76497396922613,163.78083975601004,181.47926066488174,639.5278752049513
2021-10-19,112.54813526019252,134.67838484754014,141.50816059229683,144.91232827024444,153.18278642610568,165.042869914921,182.9534220116822,640.0937995782731
2021-10-20,111.94583026535827,134.8046425841749,142.43422651897325,145.32921786177167,153.43102731139876,164.68454929038452,184.28678266626707,650.9666338680927
2021-10-21,109.46427448441821,134.87818926896418,143.19042995036872,146.29610499286682,154.38947950903832,166.19040893066978,185.06038740321236,658.7055315679625
2021-10-22,108.04248849756708,138.03606691853383,143.33365514188827,146.74065263157897,154.02761057278792,166.5230752699605,184.71577840894057,658.2699795730099
2021-10-25,106.29568100742394,138.46344598038334,143.12074112465143,146.42042756458787,154.01243636363637,166.10490505050507,185.68831727963985,641.3647615937296
2021-10-26,103.19490727409159,139.03232285197188,144.45252188323917,147.37631962277837,155.24046517186434,166.63620328486226,186.99183127136797,650.1966354984094
2021-10-27,102.11472804888724,139.15636251994673,142.69649500728357,147.41558287277488,155.65873400174368,167.44713469346397,188.15640953919632,652.1457969411442
2021-10-28,103.92979804271972,136.81334830190815,142.7326416807865,147.77433448878452,156.94170426923057,168.1445935385902,188.26263814668633,696.2213744043565
2021-10-29,103.8656873108758,136.81334830190815,142.7326416807865,147.77429605890475,156.94170426923057,168.1444179885371,188.2538800354266,696.2213744043565
2021-10-31,80.98523704584142,138.5636687373652,142.45477613566007,147.5183642124361,156.3939474123136,168.60140055685113,187.2706922677162,655.4423659099907
2021-11-01,73.88655820038308,139.74674854288938,143.69186204080694,148.26195285074965,157.61920037508474,169.13358191567727,188.19466935140852,645.822342105263
2021-11-02,67.38834789076068,138.68628522227286,144.41254588698519,149.7633916524281,157.92344735573252,170.73755529519542,188.9379793315425,636.932
2021-11-03,63.34106060862128,138.99773670670768,146.13212858744146,150.0023207754385,157.98047226505577,169.5672443027446,188.26123810760143,625.0454114957545
2021-11-04,125.41983762731411,141.54209337739482,147.68356236566174,150.9977958294734,159.25769373911464,171.16499530871897,190.80412364557537,626.5555646509054
2021-11-06,125.69596360017171,141.71254913360886,146.70575845684255,151.25595075025058,159.9052147864208,171.8018491757915,190.00968885081235,629.8091619244699
2021-11-08,125.51327409245616,143.94144857282214,147.78730200451196,151.71283654606168,160.47002244982792,172.5177844733591,191.27962951735543,616.8596199595958
2021-11-09,126.89765667852566,143.9925553504225,147.49530324949475,152.63453201304685,161.98057216336184,173.1494697945747,192.5656525731478,615.6215583605733
2021-11-10,127.12951879345174,144.4130936851435,149.65107958996848,153.56567557572419,161.2824675716717,173.78466748785888,192.51711026911542,624.5959873968492
2021-11-11,128.2661023850511,145.28421734597208,150.35053863546128,154.54194239680527,162.15076661423728,175.38341293785066,193.88580890368888,611.8274137577716
2021-11-12,129.67217716580163,146.86020172795952,151.43240248304988,155.0568819787594,162.7927924578005,175.98116781723394,195.40124700629937,607.4257839834506
2021-11-14,129.5235157992933,147.07245340617976,151.13058010654402,155.30677359649968,162.7337952968286,176.10290877680796,194.85713447510543,606.6734918654483
2021-11-15,131.40588337722144,148.05213980022953,151.6394410197328,156.06727941025022,163.12918554304642,176.0716125007496,194.86039532252107,597.0802867537965
2021-11-16,128.72649499424642,147.04020299470116,150.00889266644847,154.8972945055961,161.63216039202533,174.24191174008092,193.4822482800022,602.6785593144609
